SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,ACCELERATION,BRAKE,STEERING
182.24,0.019928,0.115746,5.91884,6.12902,6.55364,7.26752,8.4228,10.3408,13.7768,20.7804,1,0,0.0
182.283,0.0024821,0.128264,6.03313,6.26089,6.71051,7.46196,8.67762,10.7016,14.349,21.8352,1,0,0.0
182.399,-0.0151316,0.13721,6.14673,6.38876,6.85925,7.64244,8.90906,11.0221,14.8445,22.7184,1,0,0.0
182.524,-0.0328217,0.141705,6.25763,6.50906,6.99426,7.80026,9.10321,11.2784,15.217,23.3277,1,0,0.0
182.677,-0.0506999,0.143235,6.36726,6.62476,7.12033,7.94275,9.27174,11.4899,15.5023,23.7409,1,0,0.0
182.847,-0.0688222,0.14236,6.47626,6.73693,7.23917,8.07266,9.41905,11.6634,15.714,23.9897,1,0,0.0
183.032,-0.0872091,0.139456,6.585,6.84625,7.35185,8.19181,9.54803,11.8043,15.8622,24.0992,1,0,0.0
183.226,-0.10568,0.134709,6.69257,6.95197,7.45793,8.30005,9.65882,11.914,15.9517,24.0853,1,0,0.0
183.426,-0.12414,0.128632,6.799,7.05478,7.55894,8.40002,9.75618,12.0014,16.0003,23.9888,1,0,0.0
183.619,-0.142385,0.121989,6.90373,7.15495,7.65607,8.49424,9.84514,12.0758,16.0275,23.8547,1,0,0.0
183.818,-0.160276,0.115246,7.00641,7.25264,7.75008,8.5846,9.92924,12.1437,16.0466,23.7127,1,0,0.0
184.015,-0.177645,0.10855,7.10612,7.34706,7.84042,8.67077,10.0086,12.2061,16.0599,23.5692,1,0,-0.4
184.21,-0.194405,0.101946,7.20237,7.43776,7.92671,8.75248,10.0829,12.2628,16.0679,23.4254,1,0,-0.4
184.405,-0.210482,0.0953458,7.29472,7.52429,8.00856,8.82944,10.1517,12.3136,16.0701,23.281,1,0,-0.4
184.559,-0.225957,0.0908859,7.38501,7.61142,8.09421,8.91453,10.2357,12.3925,16.1271,23.2557,1,0,-0.4
184.641,-0.241425,0.0922182,7.47903,7.70999,8.20076,9.0336,10.3744,12.5625,16.3484,23.5602,1,0,-0.4
184.695,-0.257027,0.0985606,7.57742,7.81985,8.32707,9.18439,10.5636,12.8159,16.7188,24.1599,1,0,0.0
184.727,-0.273015,0.108456,7.68134,7.94043,8.47068,9.36201,10.7947,13.1373,17.2096,24.9952,1,0,0.0
184.736,-0.289459,0.120268,7.79059,8.06953,8.62715,9.55878,11.0547,13.5059,17.7835,25.9904,1,0,0.0
184.743,-0.30647,0.132536,7.90511,8.20551,8.79271,9.76795,11.3327,13.9027,18.4061,27.074,1,0,0.0
184.824,-0.323746,0.141649,8.01923,8.33701,8.94887,9.96058,11.5832,14.2524,18.9415,27.9769,1,0,0.0
184.935,-0.341151,0.146827,8.13045,8.4601,9.0894,10.1275,11.7921,14.5309,19.3458,28.6119,1,0,0.0
185.07,-0.358849,0.148887,8.24008,8.57693,9.21785,10.2741,11.9668,14.7508,19.6404,29.0221,1,0,0.0
185.227,-0.376846,0.148226,8.34834,8.68815,9.33537,10.4021,12.1105,14.9172,19.8352,29.2301,1,0,0.0
185.407,-0.395121,0.144995,8.45518,8.79402,9.4426,10.5126,12.225,15.0334,19.9373,29.2542,1,0,0.0
185.6,-0.413587,0.139717,8.56088,8.89554,9.54137,10.6086,12.3158,15.1091,19.9657,29.1353,1,0,0.0
185.798,-0.432076,0.133193,8.66541,8.99373,9.63401,10.6946,12.3906,15.1582,19.9478,28.9302,1,0,0.0
186.001,-0.450417,0.125977,8.76852,9.08909,9.72204,10.7738,12.4551,15.1912,19.9034,28.6805,1,0,0.0
186.201,-0.468468,0.118434,8.8698,9.18172,9.80634,10.8479,12.5124,15.2144,19.8451,28.4117,1,0,-0.4
186.4,-0.486053,0.110759,8.9684,9.27109,9.88676,10.9174,12.564,15.2306,19.7787,28.1365,1,0,-0.4
186.596,-0.502958,0.102999,9.06322,9.35649,9.96298,10.9821,12.6105,15.2415,19.7086,27.8647,1,0,-0.4
186.751,-0.51932,0.0973886,9.15698,9.44406,10.0453,11.0584,12.6773,15.2881,19.705,27.7269,1,0,-0.4
186.83,-0.535614,0.0974172,9.25519,9.5452,10.1523,11.1749,12.8085,15.4406,19.8868,27.938,1,0,-0.4
186.879,-0.552005,0.102394,9.35837,9.65949,10.2824,11.3288,12.9987,15.6893,20.2353,28.4577,1,0,0.0
186.911,-0.568634,0.110888,9.46669,9.78498,10.4316,11.5125,13.2352,16.0132,20.7128,29.212,1,0,0.0
186.917,-0.585635,0.121393,9.58026,9.91978,10.5954,11.7181,13.5054,16.3906,21.2816,30.1299,1,0,0.0
